profile_name,days_in_month,day_of_month,weight
standard_monthly,28,1,0.040200
standard_monthly,28,2,0.040200
standard_monthly,28,3,0.040200
standard_monthly,28,4,0.040200
standard_monthly,28,5,0.040200
standard_monthly,28,6,0.040200
standard_monthly,28,7,0.038300
standard_monthly,28,8,0.036300
standard_monthly,28,9,0.034400
standard_monthly,28,10,0.032500
standard_monthly,28,11,0.030500
standard_monthly,28,12,0.028600
standard_monthly,28,13,0.028600
standard_monthly,28,14,0.028600
standard_monthly,28,15,0.028200
standard_monthly,28,16,0.028600
standard_monthly,28,17,0.028600
standard_monthly,28,18,0.030500
standard_monthly,28,19,0.032500
standard_monthly,28,20,0.034400
standard_monthly,28,21,0.036300
standard_monthly,28,22,0.038300
standard_monthly,28,23,0.040600
standard_monthly,28,24,0.040600
standard_monthly,28,25,0.040600
standard_monthly,28,26,0.040600
standard_monthly,28,27,0.040600
standard_monthly,28,28,0.040600
standard_monthly,29,1,0.039200
standard_monthly,29,2,0.039200
standard_monthly,29,3,0.039200
standard_monthly,29,4,0.039200
standard_monthly,29,5,0.039200
standard_monthly,29,6,0.039200
standard_monthly,29,7,0.037300
standard_monthly,29,8,0.035300
standard_monthly,29,9,0.033400
standard_monthly,29,10,0.031400
standard_monthly,29,11,0.029500
standard_monthly,29,12,0.027500
standard_monthly,29,13,0.027500
standard_monthly,29,14,0.027500
standard_monthly,29,15,0.028100
standard_monthly,29,16,0.027500
standard_monthly,29,17,0.027500
standard_monthly,29,18,0.027500
standard_monthly,29,19,0.029500
standard_monthly,29,20,0.031400
standard_monthly,29,21,0.033400
standard_monthly,29,22,0.035300
standard_monthly,29,23,0.037300
standard_monthly,29,24,0.039700
standard_monthly,29,25,0.039700
standard_monthly,29,26,0.039700
standard_monthly,29,27,0.039700
standard_monthly,29,28,0.039700
standard_monthly,29,29,0.039400
standard_monthly,30,1,0.037700
standard_monthly,30,2,0.037700
standard_monthly,30,3,0.037700
standard_monthly,30,4,0.037700
standard_monthly,30,5,0.037700
standard_monthly,30,6,0.037700
standard_monthly,30,7,0.037700
standard_monthly,30,8,0.035800
standard_monthly,30,9,0.033900
standard_monthly,30,10,0.032100
standard_monthly,30,11,0.030200
standard_monthly,30,12,0.028300
standard_monthly,30,13,0.026400
standard_monthly,30,14,0.026400
standard_monthly,30,15,0.027400
standard_monthly,30,16,0.026400
standard_monthly,30,17,0.026400
standard_monthly,30,18,0.026400
standard_monthly,30,19,0.026400
standard_monthly,30,20,0.028300
standard_monthly,30,21,0.030200
standard_monthly,30,22,0.032100
standard_monthly,30,23,0.033900
standard_monthly,30,24,0.035800
standard_monthly,30,25,0.038300
standard_monthly,30,26,0.038300
standard_monthly,30,27,0.038300
standard_monthly,30,28,0.038300
standard_monthly,30,29,0.038300
standard_monthly,30,30,0.038200
standard_monthly,31,1,0.036400
standard_monthly,31,2,0.036400
standard_monthly,31,3,0.036400
standard_monthly,31,4,0.036400
standard_monthly,31,5,0.036400
standard_monthly,31,6,0.036400
standard_monthly,31,7,0.036400
standard_monthly,31,8,0.034600
standard_monthly,31,9,0.032700
standard_monthly,31,10,0.030900
standard_monthly,31,11,0.029000
standard_monthly,31,12,0.027200
standard_monthly,31,13,0.025300
standard_monthly,31,14,0.025300
standard_monthly,31,15,0.025200
standard_monthly,31,16,0.025300
standard_monthly,31,17,0.025300
standard_monthly,31,18,0.025300
standard_monthly,31,19,0.025300
standard_monthly,31,20,0.027200
standard_monthly,31,21,0.029000
standard_monthly,31,22,0.030900
standard_monthly,31,23,0.032700
standard_monthly,31,24,0.034600
standard_monthly,31,25,0.037100
standard_monthly,31,26,0.037100
standard_monthly,31,27,0.037100
standard_monthly,31,28,0.037100
standard_monthly,31,29,0.037100
standard_monthly,31,30,0.037100
standard_monthly,31,31,0.036800
