date_month,target_uncohorted_qs,target_uncohorted_op,target_budget_media
2026-01-01,"180,000","16,000","4,929,215"
2026-02-01,"135,000","12,000","3,039,548"
2026-03-01,"130,000","11,500","3,172,947"
2026-04-01,"110,000","11,000","2,872,010"
2026-05-01,"110,000","105,000","2,773,077"
2026-06-01,"130,000","11,000","3,000,000"
2026-07-01,"135,000","12,000","3,267,900"
2026-08-01,"135,000","11,000","3,011,900"
2026-09-01,"135,000","11,500","3,011,900"
2026-10-01,"135,000",12000,"3,000,000"
2026-11-01,"135,000",12500,"3,000,000"
2026-12-01,"135,000",13000,"3,000,000"
