date_day,platform,channel,metric,value
2025-01-1,ai_tools,ai_tools,last_click_sessions,1
2025-01-1,ai_tools,ai_tools,last_click_qs,0
2025-01-1,ai_tools,ai_tools,last_click_cp,0
2025-01-1,ai_tools,ai_tools,last_click_op,0
2025-01-1,crm,crm_email,last_click_sessions,"1,525"
2025-01-1,crm,crm_email,last_click_qs,155
2025-01-1,crm,crm_email,last_click_cp,31
2025-01-1,crm,crm_email,last_click_op,25
2025-01-1,crm,crm_sms,last_click_sessions,503
2025-01-1,crm,crm_sms,last_click_qs,4
2025-01-1,crm,crm_sms,last_click_cp,2
2025-01-1,crm,crm_sms,last_click_op,2
2025-01-1,direct,direct,last_click_sessions,"6,500"
2025-01-1,direct,direct,last_click_qs,877
2025-01-1,direct,direct,last_click_cp,80
2025-01-1,direct,direct,last_click_op,61
2025-01-1,google,search_paid,last_click_sessions,"8,146"
2025-01-1,google,search_paid,last_click_qs,"1,647"
2025-01-1,google,search_paid,last_click_cp,239
2025-01-1,google,search_paid,last_click_op,188
2025-01-1,google,social_organic,last_click_sessions,328
2025-01-1,google,social_organic,last_click_qs,67
2025-01-1,google,social_organic,last_click_cp,0
2025-01-1,google,social_organic,last_click_op,0
2025-01-1,meta,meta_mof,last_click_sessions,"6,350"
2025-01-1,meta,meta_mof,last_click_qs,"1,231"
2025-01-1,meta,meta_mof,last_click_cp,83
2025-01-1,meta,meta_mof,last_click_op,59
2025-01-1,organic,search_organic,last_click_sessions,"4,640"
2025-01-1,organic,search_organic,last_click_qs,646
2025-01-1,organic,search_organic,last_click_cp,55
2025-01-1,organic,search_organic,last_click_op,45
2025-01-1,organic,social_organic,last_click_sessions,"1,032"
2025-01-1,organic,social_organic,last_click_qs,299
2025-01-1,organic,social_organic,last_click_cp,24
2025-01-1,organic,social_organic,last_click_op,21
2025-01-1,other,other,last_click_sessions,233
2025-01-1,other,other,last_click_qs,60
2025-01-1,other,other,last_click_cp,4
2025-01-1,other,other,last_click_op,3
2025-01-1,referral,referral,last_click_sessions,5
2025-01-1,referral,referral,last_click_qs,0
2025-01-1,referral,referral,last_click_cp,0
2025-01-1,referral,referral,last_click_op,0
2025-01-2,ai_tools,ai_tools,last_click_sessions,1
2025-01-2,ai_tools,ai_tools,last_click_qs,0
2025-01-2,ai_tools,ai_tools,last_click_cp,0
2025-01-2,ai_tools,ai_tools,last_click_op,0
2025-01-2,crm,crm_email,last_click_sessions,"1,962"
2025-01-2,crm,crm_email,last_click_qs,157
2025-01-2,crm,crm_email,last_click_cp,23
2025-01-2,crm,crm_email,last_click_op,16
2025-01-2,crm,crm_sms,last_click_sessions,768
2025-01-2,crm,crm_sms,last_click_qs,1
2025-01-2,crm,crm_sms,last_click_cp,0
2025-01-2,crm,crm_sms,last_click_op,0
2025-01-2,direct,direct,last_click_sessions,"6,366"
2025-01-2,direct,direct,last_click_qs,859
2025-01-2,direct,direct,last_click_cp,82
2025-01-2,direct,direct,last_click_op,60
2025-01-2,google,search_paid,last_click_sessions,"8,919"
2025-01-2,google,search_paid,last_click_qs,"1,651"
2025-01-2,google,search_paid,last_click_cp,226
2025-01-2,google,search_paid,last_click_op,168
2025-01-2,google,social_organic,last_click_sessions,318
2025-01-2,google,social_organic,last_click_qs,77
2025-01-2,google,social_organic,last_click_cp,2
2025-01-2,google,social_organic,last_click_op,1
2025-01-2,meta,meta_mof,last_click_sessions,"6,413"
2025-01-2,meta,meta_mof,last_click_qs,"1,223"
2025-01-2,meta,meta_mof,last_click_cp,83
2025-01-2,meta,meta_mof,last_click_op,57
2025-01-2,organic,search_organic,last_click_sessions,"4,619"
2025-01-2,organic,search_organic,last_click_qs,583
2025-01-2,organic,search_organic,last_click_cp,61
2025-01-2,organic,search_organic,last_click_op,46
2025-01-2,organic,social_organic,last_click_sessions,"1,083"
2025-01-2,organic,social_organic,last_click_qs,273
2025-01-2,organic,social_organic,last_click_cp,18
2025-01-2,organic,social_organic,last_click_op,15
2025-01-2,other,other,last_click_sessions,257
2025-01-2,other,other,last_click_qs,58
2025-01-2,other,other,last_click_cp,1
2025-01-2,other,other,last_click_op,1
2025-01-2,referral,referral,last_click_sessions,5
2025-01-2,referral,referral,last_click_qs,0
2025-01-2,referral,referral,last_click_cp,0
2025-01-2,referral,referral,last_click_op,0
2025-01-3,ai_tools,ai_tools,last_click_sessions,1
2025-01-3,ai_tools,ai_tools,last_click_qs,0
2025-01-3,ai_tools,ai_tools,last_click_cp,0
2025-01-3,ai_tools,ai_tools,last_click_op,0
2025-01-3,crm,crm_email,last_click_sessions,"2,181"
2025-01-3,crm,crm_email,last_click_qs,190
2025-01-3,crm,crm_email,last_click_cp,39
2025-01-3,crm,crm_email,last_click_op,29
2025-01-3,crm,crm_sms,last_click_sessions,799
2025-01-3,crm,crm_sms,last_click_qs,4
2025-01-3,crm,crm_sms,last_click_cp,2
2025-01-3,crm,crm_sms,last_click_op,2
2025-01-3,direct,direct,last_click_sessions,"5,350"
2025-01-3,direct,direct,last_click_qs,788
2025-01-3,direct,direct,last_click_cp,77
2025-01-3,direct,direct,last_click_op,67
2025-01-3,google,search_paid,last_click_sessions,"8,648"
2025-01-3,google,search_paid,last_click_qs,"1,567"
2025-01-3,google,search_paid,last_click_cp,230
2025-01-3,google,search_paid,last_click_op,188
2025-01-3,google,social_organic,last_click_sessions,294
2025-01-3,google,social_organic,last_click_qs,54
2025-01-3,google,social_organic,last_click_cp,5
2025-01-3,google,social_organic,last_click_op,3
2025-01-3,meta,meta_mof,last_click_sessions,"6,714"
2025-01-3,meta,meta_mof,last_click_qs,"1,332"
2025-01-3,meta,meta_mof,last_click_cp,81
2025-01-3,meta,meta_mof,last_click_op,64
2025-01-3,organic,search_organic,last_click_sessions,"4,407"
2025-01-3,organic,search_organic,last_click_qs,482
2025-01-3,organic,search_organic,last_click_cp,43
2025-01-3,organic,search_organic,last_click_op,31
2025-01-3,organic,social_organic,last_click_sessions,"1,029"
2025-01-3,organic,social_organic,last_click_qs,284
2025-01-3,organic,social_organic,last_click_cp,23
2025-01-3,organic,social_organic,last_click_op,19
2025-01-3,other,other,last_click_sessions,252
2025-01-3,other,other,last_click_qs,60
2025-01-3,other,other,last_click_cp,7
2025-01-3,other,other,last_click_op,7
2025-01-3,referral,referral,last_click_sessions,3
2025-01-3,referral,referral,last_click_qs,0
2025-01-3,referral,referral,last_click_cp,0
2025-01-3,referral,referral,last_click_op,0
2025-01-4,crm,crm_email,last_click_sessions,"1,821"
2025-01-4,crm,crm_email,last_click_qs,89
2025-01-4,crm,crm_email,last_click_cp,26
2025-01-4,crm,crm_email,last_click_op,17
2025-01-4,crm,crm_sms,last_click_sessions,730
2025-01-4,crm,crm_sms,last_click_qs,2
2025-01-4,crm,crm_sms,last_click_cp,1
2025-01-4,crm,crm_sms,last_click_op,0
2025-01-4,direct,direct,last_click_sessions,"4,627"
2025-01-4,direct,direct,last_click_qs,694
2025-01-4,direct,direct,last_click_cp,68
2025-01-4,direct,direct,last_click_op,47
2025-01-4,google,search_paid,last_click_sessions,"9,057"
2025-01-4,google,search_paid,last_click_qs,"1,550"
2025-01-4,google,search_paid,last_click_cp,212
2025-01-4,google,search_paid,last_click_op,160
2025-01-4,google,social_organic,last_click_sessions,254
2025-01-4,google,social_organic,last_click_qs,45
2025-01-4,google,social_organic,last_click_cp,0
2025-01-4,google,social_organic,last_click_op,0
2025-01-4,meta,meta_mof,last_click_sessions,"8,530"
2025-01-4,meta,meta_mof,last_click_qs,"1,579"
2025-01-4,meta,meta_mof,last_click_cp,84
2025-01-4,meta,meta_mof,last_click_op,65
2025-01-4,organic,search_organic,last_click_sessions,"3,969"
2025-01-4,organic,search_organic,last_click_qs,375
2025-01-4,organic,search_organic,last_click_cp,41
2025-01-4,organic,search_organic,last_click_op,28
2025-01-4,organic,social_organic,last_click_sessions,"1,119"
2025-01-4,organic,social_organic,last_click_qs,346
2025-01-4,organic,social_organic,last_click_cp,26
2025-01-4,organic,social_organic,last_click_op,19
2025-01-4,other,other,last_click_sessions,246
2025-01-4,other,other,last_click_qs,42
2025-01-4,other,other,last_click_cp,5
2025-01-4,other,other,last_click_op,5
2025-01-5,ai_tools,ai_tools,last_click_sessions,1
2025-01-5,ai_tools,ai_tools,last_click_qs,0
2025-01-5,ai_tools,ai_tools,last_click_cp,0
2025-01-5,ai_tools,ai_tools,last_click_op,0
2025-01-5,crm,crm_email,last_click_sessions,"2,131"
2025-01-5,crm,crm_email,last_click_qs,175
2025-01-5,crm,crm_email,last_click_cp,52
2025-01-5,crm,crm_email,last_click_op,39
2025-01-5,crm,crm_sms,last_click_sessions,762
2025-01-5,crm,crm_sms,last_click_qs,3
2025-01-5,crm,crm_sms,last_click_cp,0
2025-01-5,crm,crm_sms,last_click_op,0
2025-01-5,direct,direct,last_click_sessions,"4,944"
2025-01-5,direct,direct,last_click_qs,868
2025-01-5,direct,direct,last_click_cp,97
2025-01-5,direct,direct,last_click_op,77
2025-01-5,google,search_paid,last_click_sessions,"10,523"
2025-01-5,google,search_paid,last_click_qs,"2,015"
2025-01-5,google,search_paid,last_click_cp,254
2025-01-5,google,search_paid,last_click_op,198
2025-01-5,google,social_organic,last_click_sessions,232
2025-01-5,google,social_organic,last_click_qs,40
2025-01-5,google,social_organic,last_click_cp,0
2025-01-5,google,social_organic,last_click_op,0
2025-01-5,meta,meta_bof,last_click_sessions,1
2025-01-5,meta,meta_bof,last_click_qs,0
2025-01-5,meta,meta_bof,last_click_cp,0
2025-01-5,meta,meta_bof,last_click_op,0
2025-01-5,meta,meta_mof,last_click_sessions,"8,749"
2025-01-5,meta,meta_mof,last_click_qs,"1,637"
2025-01-5,meta,meta_mof,last_click_cp,82
2025-01-5,meta,meta_mof,last_click_op,64
2025-01-5,organic,search_organic,last_click_sessions,"4,337"
2025-01-5,organic,search_organic,last_click_qs,479
2025-01-5,organic,search_organic,last_click_cp,50
2025-01-5,organic,search_organic,last_click_op,38
2025-01-5,organic,social_organic,last_click_sessions,"1,317"
2025-01-5,organic,social_organic,last_click_qs,349
2025-01-5,organic,social_organic,last_click_cp,28
2025-01-5,organic,social_organic,last_click_op,21
2025-01-5,other,other,last_click_sessions,262
2025-01-5,other,other,last_click_qs,41
2025-01-5,other,other,last_click_cp,2
2025-01-5,other,other,last_click_op,2
2025-01-6,ai_tools,ai_tools,last_click_sessions,2
2025-01-6,ai_tools,ai_tools,last_click_qs,0
2025-01-6,ai_tools,ai_tools,last_click_cp,0
2025-01-6,ai_tools,ai_tools,last_click_op,0
2025-01-6,crm,crm_email,last_click_sessions,"2,124"
2025-01-6,crm,crm_email,last_click_qs,58
2025-01-6,crm,crm_email,last_click_cp,16
2025-01-6,crm,crm_email,last_click_op,12
2025-01-6,crm,crm_sms,last_click_sessions,"1,056"
2025-01-6,crm,crm_sms,last_click_qs,3
2025-01-6,crm,crm_sms,last_click_cp,0
2025-01-6,crm,crm_sms,last_click_op,0
2025-01-6,direct,direct,last_click_sessions,"5,170"
2025-01-6,direct,direct,last_click_qs,801
2025-01-6,direct,direct,last_click_cp,67
2025-01-6,direct,direct,last_click_op,48
2025-01-6,google,search_paid,last_click_sessions,"9,304"
2025-01-6,google,search_paid,last_click_qs,"1,751"
2025-01-6,google,search_paid,last_click_cp,215
2025-01-6,google,search_paid,last_click_op,157
2025-01-6,google,social_organic,last_click_sessions,402
2025-01-6,google,social_organic,last_click_qs,63
2025-01-6,google,social_organic,last_click_cp,1
2025-01-6,google,social_organic,last_click_op,0
2025-01-6,meta,meta_mof,last_click_sessions,"7,494"
2025-01-6,meta,meta_mof,last_click_qs,"1,420"
2025-01-6,meta,meta_mof,last_click_cp,83
2025-01-6,meta,meta_mof,last_click_op,63
2025-01-6,organic,search_organic,last_click_sessions,"4,120"
2025-01-6,organic,search_organic,last_click_qs,361
2025-01-6,organic,search_organic,last_click_cp,41
2025-01-6,organic,search_organic,last_click_op,35
2025-01-6,organic,social_organic,last_click_sessions,"1,105"
2025-01-6,organic,social_organic,last_click_qs,300
2025-01-6,organic,social_organic,last_click_cp,20
2025-01-6,organic,social_organic,last_click_op,13
2025-01-6,other,other,last_click_sessions,239
2025-01-6,other,other,last_click_qs,44
2025-01-6,other,other,last_click_cp,3
2025-01-6,other,other,last_click_op,3
2025-01-6,referral,referral,last_click_sessions,1
2025-01-6,referral,referral,last_click_qs,0
2025-01-6,referral,referral,last_click_cp,0
2025-01-6,referral,referral,last_click_op,0
2025-01-7,ai_tools,ai_tools,last_click_sessions,1
2025-01-7,ai_tools,ai_tools,last_click_qs,0
2025-01-7,ai_tools,ai_tools,last_click_cp,0
2025-01-7,ai_tools,ai_tools,last_click_op,0
2025-01-7,crm,crm_email,last_click_sessions,"1,730"
2025-01-7,crm,crm_email,last_click_qs,28
2025-01-7,crm,crm_email,last_click_cp,9
2025-01-7,crm,crm_email,last_click_op,7
2025-01-7,crm,crm_sms,last_click_sessions,957
2025-01-7,crm,crm_sms,last_click_qs,7
2025-01-7,crm,crm_sms,last_click_cp,1
2025-01-7,crm,crm_sms,last_click_op,1
2025-01-7,direct,direct,last_click_sessions,"5,155"
2025-01-7,direct,direct,last_click_qs,721
2025-01-7,direct,direct,last_click_cp,69
2025-01-7,direct,direct,last_click_op,50
2025-01-7,google,search_paid,last_click_sessions,"8,062"
2025-01-7,google,search_paid,last_click_qs,"1,496"
2025-01-7,google,search_paid,last_click_cp,201
2025-01-7,google,search_paid,last_click_op,157
2025-01-7,google,social_organic,last_click_sessions,319
2025-01-7,google,social_organic,last_click_qs,61
2025-01-7,google,social_organic,last_click_cp,3
2025-01-7,google,social_organic,last_click_op,2
2025-01-7,meta,meta_bof,last_click_sessions,3
2025-01-7,meta,meta_bof,last_click_qs,0
2025-01-7,meta,meta_bof,last_click_cp,0
2025-01-7,meta,meta_bof,last_click_op,0
2025-01-7,meta,meta_mof,last_click_sessions,"7,157"
2025-01-7,meta,meta_mof,last_click_qs,"1,259"
2025-01-7,meta,meta_mof,last_click_cp,83
2025-01-7,meta,meta_mof,last_click_op,62
2025-01-7,organic,search_organic,last_click_sessions,"3,977"
2025-01-7,organic,search_organic,last_click_qs,355
2025-01-7,organic,search_organic,last_click_cp,44
2025-01-7,organic,search_organic,last_click_op,34
2025-01-7,organic,social_organic,last_click_sessions,"1,032"
2025-01-7,organic,social_organic,last_click_qs,291
2025-01-7,organic,social_organic,last_click_cp,16
2025-01-7,organic,social_organic,last_click_op,13
2025-01-7,other,other,last_click_sessions,261
2025-01-7,other,other,last_click_qs,54
2025-01-7,other,other,last_click_cp,5
2025-01-7,other,other,last_click_op,3
2025-01-7,referral,referral,last_click_sessions,1
2025-01-7,referral,referral,last_click_qs,1
2025-01-7,referral,referral,last_click_cp,1
2025-01-7,referral,referral,last_click_op,1
2025-01-8,ai_tools,ai_tools,last_click_sessions,3
2025-01-8,ai_tools,ai_tools,last_click_qs,1
2025-01-8,ai_tools,ai_tools,last_click_cp,0
2025-01-8,ai_tools,ai_tools,last_click_op,0
