date_day,us,qs,qc,qe,cp,op,rv
2025-01-01,"27,384","5,746","4,234","3,692",571,311,"27,990"
2025-01-02,"28,639","5,650","4,163","3,635",558,375,"33,750"
2025-01-03,"27,607","5,566","4,265","3,756",615,405,"36,450"
2025-01-04,"28,635","5,363","4,208","3,711",508,377,"33,930"
2025-01-05,"31,354","6,375","5,029","4,377",703,340,"30,600"
2025-01-06,"28,999","5,529","4,311","3,741",510,480,"43,200"
2025-01-07,"26,977","4,980","3,873","3,391",478,378,"34,020"
2025-01-08,"25,198","4,643","3,632","3,144",404,431,"38,790"
2025-01-09,"21,468","3,769","3,015","2,637",413,356,"32,040"
2025-01-10,"17,539","2,875","2,336","2,068",357,290,"26,100"
2025-01-11,"16,520","2,943","2,428","2,149",394,147,"13,230"
2025-01-12,"17,110","3,318","2,727","2,370",389,154,"13,860"
2025-01-13,"20,533","3,635","2,950","2,608",400,403,"36,270"
2025-01-14,"16,919","2,795","2,356","2,110",350,416,"37,440"
2025-01-15,"12,958","1,770","1,485","1,355",346,374,"33,660"
2025-01-16,"11,908","1,580","1,364","1,213",260,352,"31,680"
2025-01-17,"10,013","1,352","1,145","1,046",247,244,"21,960"
2025-01-18,"9,396","1,272","1,110","1,002",214,158,"14,220"
2025-01-19,"10,486","1,495","1,286","1,163",234,138,"12,420"
2025-01-20,"10,247","1,283","1,098",989,222,228,"20,520"
2025-01-21,"8,545",933,784,712,209,203,"18,270"
2025-01-22,"8,343",817,701,633,213,157,"14,130"
2025-01-23,"8,553","1,021",866,792,187,166,"14,940"
2025-01-24,"7,995",927,799,729,251,191,"17,190"
2025-01-25,"7,486",966,846,780,222,182,"16,380"
2025-01-26,"8,133","1,080",965,863,237,166,"14,940"
2025-01-27,"8,217",984,868,786,244,200,"18,000"
2025-01-28,"8,369",945,793,719,223,196,"17,640"
2025-01-29,"7,824",929,787,721,203,187,"16,830"
2025-01-30,"7,880",970,809,725,165,155,"13,950"
2025-01-31,"9,016","1,185","1,023",942,326,210,"18,900"
2025-02-01,"8,515","1,186","1,011",927,268,81,"7,290"
2025-02-02,"8,727","1,280","1,115","1,009",315,103,"9,270"
2025-02-03,"9,637","1,333","1,125","1,025",215,270,"24,300"
